id,name,department,description,tags,sns_link,application_period,application_form,booth_location
1,극예술연구회,공연분과,"극예술연구회는 동국대 유일의 중앙 연극 동아리이다.",연극,https://www.instagram.com/dgu_act/,미공개,미공개,미공개
2,두둠칫,공연분과,"동국대의 유일한 K-POP 커버댄스 동아리이다.","댄스, K-pop",https://www.instagram.com/_do_doom_chit_/,미공개,미공개,미공개
3,목멱성,공연분과,"동국대 음악컨텐츠 동아리이다.","밴드, 음악",https://www.instagram.com/dgu_myeokseong/,미공개,미공개,미공개
4,뭉게구름,공연분과,"창작음악을 기반으로 한 밴드 동아리이다.","밴드, 음악",https://www.instagram.com/dongguk_moongge/,미공개,미공개,미공개
5,아리랑,공연분과,"1985년에 창단된 아리랑은 동국대학교의 역사 깊은 중앙 밴드 동아리이다.","밴드, 음악",https://www.instagram.com/arirang__2025/,미공개,미공개,미공개
6,음샘,공연분과,"실력에 상관없이 음악을 즐기는 사람들의 밴드 동아리이다.","밴드, 음악",https://www.instagram.com/eumsaim_official/,미공개,미공개,미공개
7,잼잼,공연분과,"동국대의 유일무이한 중앙 뮤지컬 동아리이다.",뮤지컬,https://www.instagram.com/jamjam_official/,미공개,미공개,미공개
8,피어리스던,공연분과,"동국대 유일 중앙락메탈 동아리이다.","락, 메탈, 음악",https://www.instagram.com/_fearless.dawn/,미공개,미공개,미공개
9,현여울,공연분과,"동국대 클래식기타 동아리이다.","클래식기타, 음악",https://www.instagram.com/hyunyeoul_classicalguitar/,미공개,미공개,미공개
10,AJAX,공연분과,"동국대 하나뿐인 힙합 동아리이다.","힙합, 음악",https://www.instagram.com/ajax_dgu/,미공개,미공개,미공개
11,HOLA,공연분과,"동국대 유일 문화기획 동아리로 행사를 기획 및 진행한다.","문화기획, 행사",https://www.instagram.com/hola__official/,미공개,미공개,미공개
12,LOTUS,공연분과,"동국대 유일 마술&타로 동아리이다.","마술, 타로",https://www.instagram.com/lotus_dgu_official/?hl=ko,미공개,미공개,미공개
13,ODC,공연분과,"동국대 유일무이 스트릿댄스 동아리이다.","댄스, 스트릿",https://www.instagram.com/odc_streetdance/,미공개,미공개,미공개
14,OPUS,공연분과,"동국대의 유일무이한 관현악단 오케스트라이다.","오케스트라, 관현악",http://xn--https-he5x//www.instagram.com/opus_dgu/?hl=ko,미공개,미공개,미공개
15,다락,공연분과,"다락은 국악으로 함께 즐거움을 나누는 것을 목표로 하는 국악 중앙동아리로, 국악기를 배우고 정기적으로 국악 공연을 개최한다.","국악, 전통음악",https://www.instagram.com/dongguk_darock/?hl=ko,미공개,미공개,미공개
16,렛츠무드,공연분과,"‘누구나 밴드를 즐길 수 있게 하자’는 목표를 바탕으로 초보자를 위한 세션스쿨과, 많은 무대를 제공하는 락밴드 동아리이다.","밴드, 음악",https://www.instagram.com/retsmood_dgu/?hl=ko,미공개,미공개,미공개
17,길,봉사분과,"따뜻한 마음으로 봉사를 하고 친목을 다지며 서로에게 힘이 돼주는 동아리이다.","봉사, 친목",https://www.instagram.com/dgu_gil/?hl=ko,미공개,미공개,미공개
